Baseline CNN
0.png | обычное -> 0
0.png | аугментированное -> 0
1.png | обычное -> 1
1.png | аугментированное -> 1
2.png | обычное -> 2
2.png | аугментированное -> 6
3.png | обычное -> 3
3.png | аугментированное -> 3
4.png | обычное -> 4
4.png | аугментированное -> 1
5.png | обычное -> 5
5.png | аугментированное -> 5
6.png | обычное -> 6
6.png | аугментированное -> 5
7.png | обычное -> 7
7.png | аугментированное -> 3
8.png | обычное -> 8
8.png | аугментированное -> 8
9.png | обычное -> 9
9.png | аугментированное -> 9

CNN с аугментацией
0.png | обычное -> 0
0.png | аугментированное -> 0
1.png | обычное -> 1
1.png | аугментированное -> 1
2.png | обычное -> 2
2.png | аугментированное -> 2
3.png | обычное -> 3
3.png | аугментированное -> 3
4.png | обычное -> 4
4.png | аугментированное -> 4
5.png | обычное -> 5
5.png | аугментированное -> 5
6.png | обычное -> 5
6.png | аугментированное -> 6
7.png | обычное -> 8
7.png | аугментированное -> 8
8.png | обычное -> 8
8.png | аугментированное -> 8
9.png | обычное -> 9
9.png | аугментированное -> 9

